SAMPLE	SPECIES_NAME_PRINT	FAMILY	TRIBE	SUPERTRIBE	GENUS	Type_status	loci_remaining
S4234	Rorippa spasskajae	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1198
23Q92	Rorippa sphaerocarpa	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1126
23Q83	Rorippa sphaerocarpa	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1124
S2908	Rorippa subumbellata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1213
S0672	Rorippa sylvestris	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1168
ERR5555304	Rorippa sylvestris	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		114
ERR2990258	Rorippa sylvestris	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		112
S2548	Rorippa tenerrima	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1167
23Q93	Rorippa teres	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1115
23R63	Rorippa thracica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1129
S3341	Rorippa valdes-bermejoi	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1203
S2710	Rorippa vallicola	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1185
MW0567557	Rorippa wolgensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1176
S4348	Rorippa wolgensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1208
S2723	Rorripa sp.	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1200
S0289	Rudolf-kamelinia korolkowii	Brassicaceae	Euclidieae	Hesperodae (III)	Rudolf-kamelinia		1107
SRR11184855	Salvadora oleoides	Salvadoraceae			Salvadora		459
PAFTOL_023503	Salvadora persica	Salvadoraceae			Salvadora		68
S1393	Salvadora persica	Salvadoraceae			Salvadora		
NA_sn	Sandbergia perplexa	Brassicaceae	Boechereae	Camelinodae (I)	Sandbergia		1195
S_670	Sandbergia whitedii	Brassicaceae	Boechereae	Camelinodae (I)	Sandbergia		1224
S0759	Sarcodraba karraikensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Sarcodraba		971
S0449	Sarcodraba karraikensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Sarcodraba		79
S1491	Sarcodraba karraikensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Sarcodraba		
S1323	Sarcosperma laurinum	Sapotaceae			Sarcosperma		
S1339	Savignya parviflora	Brassicaceae	Brassiceae	Brassicodae (II)	Savignya		1117
S0271	Savignya parviflora	Brassicaceae	Brassiceae	Brassicodae (II)	Savignya		
S0946	Scambopus curvipes	Brassicaceae	Microlepidieae	Camelinodae (I)	Scambopus		1199
S3286	Scapiarabis ariana	Brassicaceae	Arabideae	Arabodae (IV)	Scapiarabis		1187
HEID8000522	Scapiarabis karategina	Brassicaceae	Arabideae	Arabodae (IV)	Scapiarabis		1152
HEID8000525	Scapiarabis popovii	Brassicaceae	Arabideae	Arabodae (IV)	Scapiarabis		1154
HEID504660	Scapiarabis saxicola	Brassicaceae	Arabideae	Arabodae (IV)	Scapiarabis		1098
S0760	Scapiarabis saxicola	Brassicaceae	Arabideae	Arabodae (IV)	Scapiarabis		1181
S1796	Schimpera arabica	Brassicaceae	Isatideae	Brassicodae (II)	Schimpera		1087
S2847	Schimpera arabica	Brassicaceae	Isatideae	Brassicodae (II)	Schimpera		1189
S2846	Schimpera arabica	Brassicaceae	Isatideae	Brassicodae (II)	Schimpera		1211
S0611	Schimpera arabica	Brassicaceae	Isatideae	Brassicodae (II)	Schimpera		
S1416	Schimpera arabica	Brassicaceae	Isatideae	Brassicodae (II)	Schimpera		
ERR4210213	Schimpera arabica	Brassicaceae	Isatideae	Brassicodae (II)	Schimpera		114
S2416	Schizopetalon arcuatum	Brassicaceae	Schizopetaleae	Heliophilodae (V)	Schizopetalon		1068
S4068	Schizopetalon bipinnatifidum	Brassicaceae	Schizopetaleae	Heliophilodae (V)	Schizopetalon		948
S2238	Schizopetalon biseriatum	Brassicaceae	Schizopetaleae	Heliophilodae (V)	Schizopetalon		1014
S2410	Schizopetalon brachycarpum	Brassicaceae	Schizopetaleae	Heliophilodae (V)	Schizopetalon		1026
S2231	Schizopetalon dentatum	Brassicaceae	Schizopetaleae	Heliophilodae (V)	Schizopetalon		1102
S4145	Schizopetalon maritimum	Brassicaceae	Schizopetaleae	Heliophilodae (V)	Schizopetalon		1099
S1091	Schizopetalon rupestre	Brassicaceae	Schizopetaleae	Heliophilodae (V)	Schizopetalon		1063
S4118	Schizopetalon tenuifolium	Brassicaceae	Schizopetaleae	Heliophilodae (V)	Schizopetalon		1070
SRR8528397	Schizopetalon walkeri	Brassicaceae	Schizopetaleae	Heliophilodae (V)	Schizopetalon		852
SRR11653873	Schizopetalon walkeri	Brassicaceae	Schizopetaleae	Heliophilodae (V)	Schizopetalon		112
S0614	Schouwia purpurea	Brassicaceae	Brassiceae	Brassicodae (II)	Schouwia		1121
S0669	Schouwia purpurea	Brassicaceae	Brassiceae	Brassicodae (II)	Schouwia		1124
S1201	Schrenkiella parvula	Brassicaceae	Schrenkielleae	Brassicodae (II)	Schrenkiella		1221
SRR8528385	Scoliaxon mexicanus	Brassicaceae	Asteae	Heliophilodae (V)	Scoliaxon		883
S0893	Selenia aurea	Brassicaceae	Cardamineae	Camelinodae (I)	Selenia		995
S4052	Selenia aurea	Brassicaceae	Cardamineae	Camelinodae (I)	Selenia		1166
S3757	Selenia dissecta	Brassicaceae	Cardamineae	Camelinodae (I)	Selenia		1115
