ACCEPTED	FAMILY	SPECIES_NAME_PRINT	BIONOMIAL	SUBSP_VAR	SUBFAMILY	SUPERTRIBE	TRIBE_FULL	GENUS	GROWTH_FORM	WCVP_WGSRPD_LEVEL_1_native	WCVP_WGSRPD_LEVEL_2_native	WCVP_WGSRPD_LEVEL_3_native	Island_endemic	gbif_matchType	gbif_usageKey	checked_KasperH_if_not_ACCEPTED
Y	Brassicaceae	Cardamine integra	Cardamine integra		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	51	NZS	N	EXACT	10803437	
Y	Brassicaceae	Cardamine intonsa	Cardamine intonsa		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	51	NZS	N	EXACT	10732531	
Y	Brassicaceae	Cardamine jamesonii	Cardamine jamesonii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	8	81, 82, 83	CLM, ECU, HAI, VEN		EXACT	3046027	
Y	Brassicaceae	Cardamine jejuna	Cardamine jejuna		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	7, 8	79, 80	COS, GUA, MXT		EXACT	3046008	
Y	Brassicaceae	Cardamine jonselliana	Cardamine jonselliana		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	2	25	UGA		EXACT	3045992	
Y	Brassicaceae	Cardamine karol-marholdii	Cardamine karol-marholdii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	W			NA		EXACT	11668766	
Y	Brassicaceae	Cardamine keysseri	Cardamine keysseri		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	4	43	NWG	N	EXACT	3045991	
Y	Brassicaceae	Cardamine kitaibelii	Cardamine kitaibelii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1	11, 13	ITA, SWI, YUG		EXACT	3045957	
Y	Brassicaceae	Cardamine kokaiensis	Cardamine kokaiensis		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36, 38	CHS, JAP		EXACT	10730731	
Y	Brassicaceae	Cardamine komarovii	Cardamine komarovii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36, 38	CHM, KOR		EXACT	3045913	
Y	Brassicaceae	Cardamine konaensis	Cardamine konaensis		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1, 2, 3	10, 11, 12, 13, 14, 20, 34	ALB, ALG, AUT, BGM, BLR, BLT, BUL, COR, CZE, DEN, FIN, FOR, FRA, GER, GRB, HUN, IRE, IRN, ITA, MOR, NET, NOR, POL, POR, ROM, RUC, SIC, SPA, SWE, SWI, TUR, UKR, YUG		EXACT	3046127	
Y	Brassicaceae	Cardamine kruesselii	Cardamine kruesselii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	8	85	JNF	Y	EXACT	3045707	
Y	Brassicaceae	Cardamine kuankuoshuiensis	Cardamine kuankuoshuiensis		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36	CHC		FUZZY	10712007	Y
Y	Brassicaceae	Cardamine lacustris	Cardamine lacustris		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	51	NZS	N	EXACT	3045710	
Y	Brassicaceae	Cardamine lanceolaris	Cardamine lanceolaris		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	8	82	VEN		EXACT	3691648	
Y	Brassicaceae	Cardamine latior	Cardamine latior		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	51	ATP	Y	EXACT	7789949	
Y	Brassicaceae	Cardamine lazica	Cardamine lazica		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3					3045889	Y (corrected)
Y	Brassicaceae	Cardamine leucantha	Cardamine leucantha		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	30, 31, 36, 37, 38	AMU, CHC, CHI, CHM, CHN, CHS, CTA, JAP, KHA, KOR, KUR, MON, PRM, SAK		EXACT	3045862	
Y	Brassicaceae	Cardamine leucantha subsp. leucantha	Cardamine leucantha	subsp. leucantha	Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H			NA		EXACT	7068657	
Y	Brassicaceae	Cardamine leucantha subsp. tomentella	Cardamine leucantha	subsp. tomentella	Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H			NA		EXACT	3045869	
Y	Brassicaceae	Cardamine lihengiana	Cardamine lihengiana		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36	CHC		EXACT	3045887	
Y	Brassicaceae	Cardamine lilacina	Cardamine lilacina		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	50	NSW, TAS, VIC		EXACT	3045784	
Y	Brassicaceae	Cardamine linearilobia	Cardamine linearilobia		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	50	SOA, VIC		FUZZY	3691552	Y
Y	Brassicaceae	Cardamine lojanensis	Cardamine lojanensis		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	8	83	ECU		EXACT	3045747	
Y	Brassicaceae	Cardamine longii	Cardamine longii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	7	75, 78	FLA, MAI, MAS, MRY, NCA, NWJ, NWY, SCA, VRG		EXACT	3045690	
Y	Brassicaceae	Cardamine longipedicellata	Cardamine longipedicellata		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	7, 8	79, 80	GUA, MXC, MXE, MXG, MXS, MXT		EXACT	3045671	
Y	Brassicaceae	Cardamine loxostemonoides	Cardamine loxostemonoides		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3, 4	36, 40	CHC, CHT, EHM, NEP, WHM		EXACT	3045649	
Y	Brassicaceae	Cardamine luxurians	Cardamine luxurians		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3, 4	36, 40	CHC, CHT, EHM, NEP, WHM		EXACT	3045630	
Y	Brassicaceae	Cardamine lyrata	Cardamine lyrata		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	30, 31, 36, 37, 38	AMU, BRY, CHC, CHI, CHM, CHS, CTA, JAP, KHA, KOR, MON, PRM		EXACT	3046246	
Y	Brassicaceae	Cardamine macrocarpa	Cardamine macrocarpa		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	7	77, 79	MXE, TEX		EXACT	3046234	
Y	Brassicaceae	Cardamine macrophylla	Cardamine macrophylla		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1, 3, 4	14, 30, 31, 32, 36, 37, 38, 40	ALT, AMU, ASS, BRY, CHC, CHI, CHM, CHN, CHQ, CHS, CHT, CHX, CTA, EHM, IRK, JAP, KAZ, KHA, KRA, MON, NEP, PAK, PRM, RUE, RUN, SAK, TVA, WHM, WSB, YAK		EXACT	3046173	
Y	Brassicaceae	Cardamine macrostachya	Cardamine macrostachya		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	8	85	CLC		EXACT	3045736	
Y	Brassicaceae	Cardamine magnifica	Cardamine magnifica		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	51	NZS	N	EXACT	10700038	
Y	Brassicaceae	Cardamine majovskii	Cardamine majovskii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1	11, 13, 14	ALB, AUT, BUL, CZE, GER, GRC, HUN, ITA, ROM, UKR, YUG		EXACT	3046120	
